lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome,cifra_individuale,preferenze
3,DRAGO SINDACO,1,DRAGO PASQUALE,11,DRAGO PASQUALE,1262,113
3,DRAGO SINDACO,1,DRAGO PASQUALE,3,ALTOMARE SILVIA,1247,98
3,DRAGO SINDACO,1,DRAGO PASQUALE,14,LUCIVERO GIACOMO (detto Mino),1238,89
3,DRAGO SINDACO,1,DRAGO PASQUALE,2,ALTAMURA LEONARDO,1223,74
3,DRAGO SINDACO,1,DRAGO PASQUALE,1,ALTAMURA CONCETTA,1194,45
3,DRAGO SINDACO,1,DRAGO PASQUALE,8,del ROSSO OLIMPIA,1192,43
3,DRAGO SINDACO,1,DRAGO PASQUALE,6,CUSANNO GIANLUCA,1187,38
3,DRAGO SINDACO,1,DRAGO PASQUALE,10,DI TERLIZZI CARMELA AURELIA,1186,37
3,DRAGO SINDACO,1,DRAGO PASQUALE,18,SQUEO LEONARDO,1177,28
3,DRAGO SINDACO,1,DRAGO PASQUALE,13,GERMINARIO GENNARO,1171,22
3,DRAGO SINDACO,1,DRAGO PASQUALE,4,ANDRIANI SAVERIO,1167,18
3,DRAGO SINDACO,1,DRAGO PASQUALE,5,BINETTI MICHELE (detto Nino),1167,18
3,DRAGO SINDACO,1,DRAGO PASQUALE,19,TANGARI VALERIA MARIA ANTONIETTA,1158,9
3,DRAGO SINDACO,1,DRAGO PASQUALE,7,de FELICE GIACOMO,1154,5
3,DRAGO SINDACO,1,DRAGO PASQUALE,9,DE MAGIS ELISABETTA,1151,2
3,DRAGO SINDACO,1,DRAGO PASQUALE,21,MODUGNO PAOLO,1150,1
3,DRAGO SINDACO,1,DRAGO PASQUALE,23,SCHIRALDI CARMELA,1150,1
3,DRAGO SINDACO,1,DRAGO PASQUALE,20,ROMA GIUSEPPE,1149,0
3,DRAGO SINDACO,1,DRAGO PASQUALE,22,ARPONE DORA,1149,0
3,DRAGO SINDACO,1,DRAGO PASQUALE,24,SEMERARO IMMACOLATA,1149,0
4,PD,1,DRAGO PASQUALE,4,AZZOLLINI GABRIELLA,2040,372
4,PD,1,DRAGO PASQUALE,9,d'AMATO ALBERTO (detto DAMATO),1981,313
4,PD,1,DRAGO PASQUALE,13,FARINOLA VITO,1896,228
4,PD,1,DRAGO PASQUALE,11,de NICOLO GIUSEPPINA DANILA (detta DANILA),1860,192
4,PD,1,DRAGO PASQUALE,1,AIROLDI GIOVANNI (detto AYROLDI detto NINO),1858,190
4,PD,1,DRAGO PASQUALE,24,VISTA GIOVANNA,1848,180
4,PD,1,DRAGO PASQUALE,7,COPPOLECCHIA MARIA,1788,120
4,PD,1,DRAGO PASQUALE,23,SPADAVECCHIA TERESA ESTER CRISTIANA (detta ESTER),1773,105
4,PD,1,DRAGO PASQUALE,17,LOSITO ONOFRIO,1763,95
4,PD,1,DRAGO PASQUALE,16,LOSITO MICHELE (detto MIRCO),1734,66
4,PD,1,DRAGO PASQUALE,6,CAPURSO PIETRO,1733,65
4,PD,1,DRAGO PASQUALE,20,PORCELLUZZI RUGGERO,1726,58
4,PD,1,DRAGO PASQUALE,19,MINERVINI MARIA,1724,56
4,PD,1,DRAGO PASQUALE,14,GIANCASPRO MARTA,1718,50
4,PD,1,DRAGO PASQUALE,12,de VIRGILIO MARCO VITO,1711,43
4,PD,1,DRAGO PASQUALE,3,AURORA GIOVANNI (detto GIANNI),1695,27
4,PD,1,DRAGO PASQUALE,8,COVIELLO MAURANGELO (detto MAURA),1694,26
4,PD,1,DRAGO PASQUALE,2,AMATO SALVATORE,1690,22
4,PD,1,DRAGO PASQUALE,10,de GIGLIO VINCENZO,1689,21
4,PD,1,DRAGO PASQUALE,22,SCOTTI PIETRO,1686,18
4,PD,1,DRAGO PASQUALE,5,BRIO DAMIANO,1683,15
4,PD,1,DRAGO PASQUALE,21,REGINA GIOVANNA,1683,15
4,PD,1,DRAGO PASQUALE,15,"la GHEZZA ANNAMARIA, NICOLETTA",1679,11
4,PD,1,DRAGO PASQUALE,18,MASTROMAURO CATALDO,1676,8
5,CON DRAGO,1,DRAGO PASQUALE,24,VENEZIANO VITO,927,210
5,CON DRAGO,1,DRAGO PASQUALE,22,SPADAVECCHIA GIACOMO,845,128
5,CON DRAGO,1,DRAGO PASQUALE,6,de BARI VITO,786,69
5,CON DRAGO,1,DRAGO PASQUALE,3,CALO' GAETANO,774,57
5,CON DRAGO,1,DRAGO PASQUALE,10,de ROBERTIS MIRIAM ANGELA,774,57
5,CON DRAGO,1,DRAGO PASQUALE,11,de SANTIS VALERIA,761,44
5,CON DRAGO,1,DRAGO PASQUALE,7,de CEGLIA SAVERIO ALESSANDRO (detto SAVERIO),759,42
5,CON DRAGO,1,DRAGO PASQUALE,1,ALTAMURA ELISABETTA (detta LISA),758,41
5,CON DRAGO,1,DRAGO PASQUALE,2,ANGIONE ANNA,746,29
5,CON DRAGO,1,DRAGO PASQUALE,15,MEMEO ANGELA,745,28
5,CON DRAGO,1,DRAGO PASQUALE,12,FARINOLA VITTORIA (detta VIKY),741,24
5,CON DRAGO,1,DRAGO PASQUALE,21,SGARRO SIMONA,741,24
5,CON DRAGO,1,DRAGO PASQUALE,18,PAPARELLA PAOLA (dettaPAOLA),740,23
5,CON DRAGO,1,DRAGO PASQUALE,20,SCIANCALEPORE DELIA,736,19
5,CON DRAGO,1,DRAGO PASQUALE,23,SQUEO GIOVANNI BATTISTA,736,19
5,CON DRAGO,1,DRAGO PASQUALE,4,COLAMARTINO MARTINA,732,15
5,CON DRAGO,1,DRAGO PASQUALE,5,DALIANI POLI PAOLA ELISABETTA,731,14
5,CON DRAGO,1,DRAGO PASQUALE,16,MEZZINA LEONARDO,729,12
5,CON DRAGO,1,DRAGO PASQUALE,17,NAPPI CINZIA,728,11
5,CON DRAGO,1,DRAGO PASQUALE,19,SANCILIO MARCO,723,6
5,CON DRAGO,1,DRAGO PASQUALE,9,de PINTO IVAN FRANCESCO,722,5
5,CON DRAGO,1,DRAGO PASQUALE,8,de GENNARO MAURO,721,4
5,CON DRAGO,1,DRAGO PASQUALE,13,la MASTRA GIROLAMO (detto MIMMO),720,3
5,CON DRAGO,1,DRAGO PASQUALE,14,MASTROFILIPPO ROSSELLA,719,2
6,RINASCERE,1,DRAGO PASQUALE,1,SPACCAVENTO FELICE ANTONIO,2143,580
6,RINASCERE,1,DRAGO PASQUALE,18,MULINELLI BRIGIDA,1948,385
6,RINASCERE,1,DRAGO PASQUALE,16,MINERVINI CORRADO,1836,273
6,RINASCERE,1,DRAGO PASQUALE,5,CASAMASSIMA DOMENICO (detto MIMMO),1797,234
6,RINASCERE,1,DRAGO PASQUALE,13,LA GRASTA MARIANNA,1722,159
6,RINASCERE,1,DRAGO PASQUALE,7,de CANDIA MODESTO,1704,141
6,RINASCERE,1,DRAGO PASQUALE,23,SCARDIGNO LAURA,1645,82
6,RINASCERE,1,DRAGO PASQUALE,6,DALBIS DONATO,1632,69
6,RINASCERE,1,DRAGO PASQUALE,15,"MEZZINA DANIELA, MARIA, ANTONIETTA",1625,62
